Model, MRP, Price, Avalability_status, Rating, Ram_Rom, Display, Camera, Battery
Lenovo P770 (Grey| 4 GB),12899,12899,Out Of Stock,4.3,1 GB RAM | 4 GB ROM | Expandable Upto 32 GB,11.43 cm (4.5 inch) quarter HD Display,5MP Rear Camera | 0.3MP Front Camera,3500 mAh Li-Ion Battery
Asus Zenfone Max (Black| 32 GB),9999,7499,Out Of Stock,4.1,2 GB RAM | 32 GB ROM | Expandable Upto 64 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery
Asus Zenfone Max (White| 16 GB),9999,7499,Out Of Stock,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Li-Polymer Battery
Micromax Canvas 2.2 A114 (White| 1 GB),9999,9999,Out Of Stock,4.1,1 GB RAM | 1 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) quarter HD Display,8MP Rear Camera | 2MP Front Camera,2000 mAh Li-Ion Battery
LG Stylus 2 (Brown| 16 GB),10200,10200,Out Of Stock,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 2 TB,14.48 cm (5.7 inch) HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Battery
Mi 4i (Grey| 16 GB),11999,11999,Out Of Stock,4.2,2 GB RAM | 16 GB ROM |,12.7 cm (5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,3030 mAh Li-ion Polymer Battery
Moto G (Black| 16 GB),9999,9999,Out Of Stock,4.4,1 GB RAM | 16 GB ROM |,11.43 cm (4.5 inch) HD Display,5MP Rear Camera | 1.3MP Front Camera,2070 mAh Battery
Lava Iris X5 (White| 8 GB),3999,3999,Out Of Stock,4.1,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,2100 mAh Li-Ion Battery
Redmi 4A (Gold| 32 GB),6999,6999,Out Of Stock,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3120 mAh Li-polymer Battery
Honor 6X (Grey| 64 GB),9999,9999,Out Of Stock,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,12MP + 2MP | 8MP Front Camera,3340 mAh Battery
Sony Xperia M (White| 4 GB),9990,9990,Out Of Stock,4.2,1 GB RAM | 4 GB ROM | Expandable Upto 32 GB,10.16 cm (4 inch) FWVGA Display,5MP Rear Camera | 0.3MP Front Camera,1700 mAh Li-Ion Battery
Honor 9N (Purple| 32 GB),13999,11999,Out Of Stock,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery
Moto E (2nd Gen) 3G (White| 8 GB),5999,5999,Out Of Stock,4.1,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,11.43 cm (4.5 inch) quarter HD Display,5MP Rear Camera | 0.3MP Front Camera,2390 mAh Battery
Samsung Galaxy Grand 2 (Black| 8 GB),9999,9999,Out Of Stock,4.1,1.5 GB RAM | 8 GB ROM | Expandable Upto 64 GB,13.31 cm (5.24 inch) HD Display,8MP Rear Camera | 1.9MP Front Camera,2600 mAh Li-Ion Battery
Vivo V5 (Space Grey| 32 GB),12490,12490,Out Of Stock,4.2,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 20MP Front Camera,3000 mAh Battery
M-tech Eros Plus (Rose Gold| 8 GB),3550,3550,Out Of Stock,4.5,1 GB RAM | 8 GB ROM | Expandable Upto 64 GB,12.7 cm (5 inch) FWVGA Display,5MP Rear Camera | 0.3MP Front Camera,2000 mAh Battery
Redmi 3S Prime (Dark Grey| 32 GB),8999,8999,Out Of Stock,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Ion Polymer Battery
Redmi Y1 lite (Gold| 16 GB),7499,7499,Out Of Stock,4.1,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3080 mAh Battery
Redmi 2 (White| 8 GB),5999,5999,Out Of Stock,4.2,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,11.94 cm (4.7 inch) HD Display,8MP Rear Camera | 2MP Front Camera,2200 mAh Li-Ion Polymer Battery
